Best Price,Per Amount,Single Price,Product Name,Link,Category,Varietal,Size,Standard Drinks,Alcohol Volume,Country,Brand Name,Closure,Whisky Style,Age,Region,Current Vintage,State,Wine Style,Vegan Friendly,Beer Style,Organic,Food Match,Wine Maker,Spirit Style,Wine Body,Cellar Release,Cider Style,Langtons Classified
$75.00 ,1,$75.00 ,Legend Single Malt Welsh Whisky 700mL,https://www.danmurphys.com.au/product/DM_781504/penderyn-legend-single-malt-welsh-whisky-700ml,Welsh Whisky,Whisky,700mL,22.6,41.00%,Wales,Penderyn,Cork,Single Malt,,,,,,,,,,,,,,,
$84.20 ,6,$84.20 ,Myth Single Malt Welsh Whisky 700mL,https://www.danmurphys.com.au/product/DM_466117/penderyn-myth-single-malt-welsh-whisky-700ml,Welsh Whisky,Whisky,700mL,22.6,41.00%,Wales,Penderyn,Cork,Single Malt,,,,,,,,,,,,,,,
$109.00 ,1,$109.00 ,Dunedin DoubleWood 16 Year Old Blended Whisky 500mL,https://www.danmurphys.com.au/product/DM_441803/the-new-zealand-dunedin-doublewood-16-year-old-blended-whisky-500m,New Zealand Whisky,New Zealand Whisky,500mL,16,40.00%,New Zealand,The New Zealand,Cork,Blended Whisky,16 Year Old,,,,,,,,,,,,,,
$198.00 ,6,$198.00 ,South Island 25 Year Old Single Malt Whisky 350mL,https://www.danmurphys.com.au/product/DM_441704/the-new-zealand-south-island-25-year-old-single-malt-whisky-350ml,New Zealand Whisky,New Zealand Whisky,350mL,11,40.00%,New Zealand,The New Zealand,Cork,Single Malt,25 Year Old,,,,,,,,,,,,,,
$153.50 ,6,$153.50 ,Alba Italian Malt Whisky 700mL,https://www.danmurphys.com.au/product/DM_527823/puni-alba-italian-malt-whisky-700ml,Italian Whisky,Italian Whisky,700mL,24,43.00%,Italy,Puni,,Blended Malt,3 Year Old,,,,,,,,,,,,,,
$133.70 ,1,$133.70 ,Nova Italian Malt Whisky 700mL,https://www.danmurphys.com.au/product/DM_527821/puni-nova-italian-malt-whisky-700ml,Italian Whisky,Italian Whisky,700mL,24,43.00%,Italy,Puni,,Blended Malt,3 Year Old,,,,,,,,,,,,,,
$119.95 ,1,$119.95 ,Spiced Malt 700mL,https://www.danmurphys.com.au/product/DM_ER_1000003599_ALBI1/albion-racing-club-spiced-malt-700ml,English Whisky,Whisky,700mL,23.2,42%,England,Albion Racing Club,Synthetic,,,Cambridgeshire,Synthetic ,FRE,,,,,,,,,,,
$119.80 ,1,$119.80 ,Cotswolds Odyssey Barley Single Malt Whisky 46% 700mL,https://www.danmurphys.com.au/product/DM_ER_1000006499_COTSWOLDS2014WHISKY/cotswolds-cotswolds-odyssey-barley-single-malt-whisky-46-70,English Whisky,,700mL,26,46%,England,Cotswolds,Cork,Single Malt,,,,,,,,,,,,,,,
$8.00 ,1,$8.00 ,0.5% Low Alcohol Semillon Chardonnay,https://www.danmurphys.com.au/product/DM_72703/lindeman-s-0-5-low-alcohol-semillon-chardonnay,Low Alcohol Wine,Semillon Chardonnay,750mL,0.6,0.50%,Australia,Lindeman's,Screw Cap,,,,Non Vintage,,Dry,,,,,,,,,,
$8.00 ,1,$8.00 ,0.5% Low Alcohol Sparkling Chardonnay Pinot Noir,https://www.danmurphys.com.au/product/DM_72555/lindeman-s-0-5-low-alcohol-sparkling-chardonnay-pinot-noir,Low Alcohol Wine,Chardonnay Pinot Noir,750mL,0.6,0.50%,Australia,Lindeman's,Screw Cap,,,,Non Vintage,,Dry,,,,,,,,,,
