Best Price,Per Amount,Single Price,Size,Standard Drinks,Alcohol Volume,Country,Brand Name,Varietal,Closure,Region,State,Whisky Style,Current Vintage,Food Match,Wine Style,Wine Body
$4.49,12,$4.88,275mL,1.3,6.60%,Mexico,100% Tequila,Tequila,Screw Cap,,,,,,,
$4.49,12,$4.88,275mL,1.3,6.60%,Mexico,100% Tequila,Tequila,Screw Cap,,,,,,,
$24.99,1,$24.99,750mL,7.7,13.0%,Australia,148 Browns Road,Chardonnay,Screw Cap,Mornington Peninsula,Victoria,,,,,
$29.156666666666666,6,$29.99,750mL,7.7,13%,Australia,148 Browns Road,Pinot Noir,Screw Cap,Mornington Peninsula,Victoria,,,,,
$33.699999999999996,6,$33.7,700mL,22,40.00%,Scotland,1495,Scotch Whisky,Screw Cap,Lowland,,Blended Whisky,,,,
$29.95,1,$29.95,120mL,4.6,48.8%,United States,18.21,Bitters,,,,,,,,
$32.95,1,$32.95,120mL,2.8,29.5,United States,18.21,Bitters,,,,,,,,
$32.95,1,$32.95,120mL,2.7,28%,United States,18.21,Bitters,,,,,,,,
$29.95,1,$29.95,120mL,3.9,41.0,United States,18.21,Bitters,,,,,,,,
$32.95,1,$32.95,120mL,3.8,40%,United States,18.21,Bitters,,,,,,,,
$32.95,1,$32.95,120mL,3.5,37.2%,United States,18.21,Bitters,,,,,,,,
$32.95,1,$32.95,120mL,6.3,66.5,USA,18.21,Bitters,,,,,,,,
$29.95,1,$29.95,120mL,2.8,29.5,United States,18.21,Bitters,,,,,,,,
$29.95,1,$29.95,120mL,3.8,40%,United States,18.21,Bitters,,,,,,,,
$32.95,1,$32.95,120mL,5.2,55%,USA,18.21,Bitters,,,,,,,,
$69.95,1,$69.95,700mL,21,38.00%,Mexico,1800,Tequila,Screw Cap,,,,1800 Tequila Anejo,,,
$70.3,6,$70.3,750mL,20.7,35.00%,Mexico,1800,Tequila,,,,,,,,
$70.3,6,$70.3,700mL,21,38%,Mexico,1800,Tequila,Cork,,,,,,,
$70.3,6,$70.3,700mL,21,38.00%,Mexico,1800,Tequila,,,,,,,,
$66.39999999999999,6,$66.4,750mL,21,38.00%,Mexico,1800,Tequila,,,,,,,,
$24.916666666666668,12,$24.92,750mL,7,14%,Australia,1863,Cabernet Merlot,Cork,,,,2017,Cheese,Dry,Full Bodied
